№;Линк категории поставщика;channel;prefix;coef;threshold;Номер_групи;Назва_групи;Ідентифікатор_підрозділу;Посилання_підрозділу;Особисті_нотатки;Ярлик;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики
979;"https://viatec.ua/catalog/ziz/0:0;tip-ziz:rukavichki";site;;0,85;1,2;152197317;Средства индивидуальной защиты;30816;https://prom.ua/Sredstva-zaschity-ruk;V;;Тип устройства;;Рукавиці захисні
980;"https://viatec.ua/catalog/ziz/0:0;tip-ziz:rukavichki";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;30816;https://prom.ua/Sredstva-zaschity-ruk;V, Vmin, noindex;;Тип устройства;;Рукавиці захисні
981;"https://viatec.ua/catalog/ziz/0:0;tip-ziz:respirator,maska-povna,filtr";site;;0,85;1,2;152197317;Средства индивидуальной защиты;301901;https://prom.ua/Sredstva-zaschity-organov-dyhaniya;V;;Тип устройства;;Маски і респіратори
982;"https://viatec.ua/catalog/ziz/0:0;tip-ziz:respirator,maska-povna,filtr";prom;prom_;0,85;1.21;140905382;Безопасность и комфорт;301901;https://prom.ua/Sredstva-zaschity-organov-dyhaniya;V, Vmin, noindex;;Тип устройства;;Маски і респіратори
983;"https://viatec.ua/catalog/ziz/0:0;tip-ziz:okuliari,reminec-okuliari,chohol";site;;0,85;1,2;152197317;Средства индивидуальной защиты;301908;https://prom.ua/Sredstva-zaschity-glaz;V;;Тип устройства;;Окуляри захисні
984;"https://viatec.ua/catalog/ziz/0:0;tip-ziz:okuliari,reminec-okuliari,chohol";prom;prom_;0,85;1.29;140905382;Безопасность и комфорт;301908;https://prom.ua/Sredstva-zaschity-glaz;V, Vmin, noindex;;Тип устройства;;Окуляри захисні
985;"https://viatec.ua/catalog/ziz/0:0;tip-ziz:kombinezon";site;;0,85;1,2;152197317;Средства индивидуальной защиты;3080804;https://prom.ua/Polukombinezony-rabochie;V;;Тип устройства;;Комбінезони робочі
986;"https://viatec.ua/catalog/ziz/0:0;tip-ziz:kombinezon";prom;prom_;0,85;1.33;140905382;Безопасность и комфорт;3080804;https://prom.ua/Polukombinezony-rabochie;V, Vmin, noindex;;Тип устройства;;Комбінезони робочі
987;https://viatec.ua/catalog/pini-germetiki/0:0;site;;0,85;1,2;152197474;Пины, герметики, аэрозоли;121246;https://prom.ua/ua/Nabory-avtomobilnye;V;;Тип устройства;;
988;https://viatec.ua/catalog/pini-germetiki/0:0;prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;121246;https://prom.ua/ua/Nabory-avtomobilnye;V, Vmin, noindex;;Тип устройства;;
989;"https://viatec.ua/catalog/obigrivachi/0:0;obigrivachi:maslianii";site;;0,85;1,2;152206635;Обогреватели;13240108;https://prom.ua/ua/Obogrevateli-maslyanye-bytovye;V;;Тип устройства;;Масляний обігрівач
990;"https://viatec.ua/catalog/obigrivachi/0:0;obigrivachi:maslianii";prom;prom_;0,85;1.27;140905382;Безопасность и комфорт;13240108;https://prom.ua/ua/Obogrevateli-maslyanye-bytovye;V, Vmin, noindex;;Тип устройства;;Масляний обігрівач
991;"https://viatec.ua/catalog/obigrivachi/0:0;obigrivachi:konvektor";site;;0,85;1,2;152206635;Обогреватели;61601;https://prom.ua/ua/Konvektory-elektricheskie;V;;Тип устройства;;Конвектор
992;"https://viatec.ua/catalog/obigrivachi/0:0;obigrivachi:konvektor";prom;prom_;0,85;1.27;140905382;Безопасность и комфорт;61601;https://prom.ua/ua/Konvektory-elektricheskie;V, Vmin, noindex;;Тип устройства;;Конвектор
993;"https://viatec.ua/catalog/obigrivachi/0:0;obigrivachi:infrachervonii";site;;0,85;1,2;152206635;Обогреватели;62601;https://prom.ua/ua/Obogrevateli-infrakrasnye;V;;Тип устройства;;Обігрівач інфрачервоний
994;"https://viatec.ua/catalog/obigrivachi/0:0;obigrivachi:infrachervonii";prom;prom_;0,85;1.28;140905382;Безопасность и комфорт;62601;https://prom.ua/ua/Obogrevateli-infrakrasnye;V, Vmin, noindex;;Тип устройства;;Обігрівач інфрачервоний
995;"https://viatec.ua/catalog/obigrivachi/0:0;obigrivachi:teploventiliator";site;;0,85;1,2;152206635;Обогреватели;62611;https://prom.ua/ua/Teploventilyatory-bytovye;V;;Тип устройства;;Тепловентилятор
996;"https://viatec.ua/catalog/obigrivachi/0:0;obigrivachi:teploventiliator";prom;prom_;0,85;1.28;140905382;Безопасность и комфорт;62611;https://prom.ua/ua/Teploventilyatory-bytovye;V, Vmin, noindex;;Тип устройства;;Тепловентилятор
997;"https://viatec.ua/catalog/obigrivachi/0:0;obigrivachi:nizhka-ik-obigrivach";site;;0,85;1,2;152206635;Обогреватели;13240125;https://prom.ua/ua/Komplektuyuschie-dlya-infrakrasnyh-obogrevatelej;V;;Тип устройства;;Ніжка телескопічна для ІЧ обігрівача
998;"https://viatec.ua/catalog/obigrivachi/0:0;obigrivachi:nizhka-ik-obigrivach";prom;prom_;0,85;1.28;140905382;Безопасность и комфорт;13240125;https://prom.ua/ua/Komplektuyuschie-dlya-infrakrasnyh-obogrevatelej;V, Vmin, noindex;;Тип устройства;;Ніжка телескопічна для ІЧ обігрівача
999;https://viatec.ua/catalog/display-bracket/0:0;site;;0,85;1,2;152208563;Кронштейны для телевизоров и мониторов;63708;https://prom.ua/Kronshtejny-dlya-audio-video-tehniki;V;;;;
1000;https://viatec.ua/catalog/display-bracket/0:0;prom;prom_;0,85;1.34;140905382;Безопасность и комфорт;63708;https://prom.ua/Kronshtejny-dlya-audio-video-tehniki;V, Vmin, noindex;;;;
1001;"https://viatec.ua/catalog/analogovi-guchnomovci/0:0;audiosistema:guchno-analogovi";site;;0,85;1,2;152208591;Системы озвучивания и оповещения;6371818;https://prom.ua/ua/Gromkogovoriteli;V;;Тип устройства;;Гучномовці аналогові
1002;"https://viatec.ua/catalog/analogovi-guchnomovci/0:0;audiosistema:guchno-analogovi";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;6371818;https://prom.ua/ua/Gromkogovoriteli;V, Vmin, noindex;;Тип устройства;;Гучномовці аналогові
1003;"https://viatec.ua/catalog/analogovi-guchnomovci/0:0;audiosistema:pidsiluvachi";site;;0,85;1,2;152208591;Системы озвучивания и оповещения;63701;https://prom.ua/ua/Usiliteli;V;;Тип устройства;;Підсилювачі
1004;"https://viatec.ua/catalog/analogovi-guchnomovci/0:0;audiosistema:pidsiluvachi";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;63701;https://prom.ua/ua/Usiliteli;V, Vmin, noindex;;Тип устройства;;Підсилювачі
1005;"https://viatec.ua/catalog/analogovi-guchnomovci/0:0;audiosistema:mikorofoni";site;;0,85;1,2;152208591;Системы озвучивания и оповещения;6371204;https://prom.ua/ua/Mikrofony;V;;Тип устройства;;Мікрофони
1006;"https://viatec.ua/catalog/analogovi-guchnomovci/0:0;audiosistema:mikorofoni";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;6371204;https://prom.ua/ua/Mikrofony;V, Vmin, noindex;;Тип устройства;;Мікрофони
1007;"https://viatec.ua/catalog/analogovi-guchnomovci/0:0;audiosistema:ip-ozvhuchannia";site;;0,85;1,2;152208591;Системы озвучивания и оповещения;6371818;https://prom.ua/ua/Gromkogovoriteli;V;;Тип устройства;;IP cистеми озвучування
1008;"https://viatec.ua/catalog/analogovi-guchnomovci/0:0;audiosistema:ip-ozvhuchannia";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;6371818;https://prom.ua/ua/Gromkogovoriteli;V, Vmin, noindex;;Тип устройства;;IP cистеми озвучування
1009;"https://viatec.ua/catalog/analogovi-guchnomovci/0:0;audiosistema:komplekt";site;;0,85;1,2;152208591;Системы озвучивания и оповещения;518;https://prom.ua/ua/Akusticheskie-sistemy;V;;Тип устройства;;Акустичні системи
1010;"https://viatec.ua/catalog/analogovi-guchnomovci/0:0;audiosistema:komplekt";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;518;https://prom.ua/ua/Akusticheskie-sistemy;V, Vmin, noindex;;Тип устройства;;Акустичні системи
1011;https://viatec.ua/catalog/bronepliti/0:0;site;;0,85;1,2;152284866;Бронеплиты;300501;https://prom.ua/Bronezhilety;V;;;;
1012;https://viatec.ua/catalog/bronepliti/0:0;prom;prom_;0,85;1.21;140905382;Безопасность и комфорт;300501;https://prom.ua/Bronezhilety;V, Vmin, noindex;;;;
1013;https://viatec.ua/catalog/plitonoski/0:0;site;;0,85;1,2;152208833;Плитоноски;3082002;https://prom.ua/Razgruzochnye-zhilety;V;;;;
1014;https://viatec.ua/catalog/plitonoski/0:0;prom;prom_;0,85;1.21;140905382;Безопасность и комфорт;3082002;https://prom.ua/Razgruzochnye-zhilety;V, Vmin, noindex;;;;
1015;"https://viatec.ua/catalog/sproriadzhennia/0:0;tip-sporizdzhennia:pidsumok-ak";site;;0,85;1,2;152208946;Снаряжение;240455;https://prom.ua/ua/Navesnye-podsumki;V;;Тип устройства;;Навісні підсумки
1016;"https://viatec.ua/catalog/sproriadzhennia/0:0;tip-sporizdzhennia:pidsumok-ak";prom;prom_;0,85;1.21;140905382;Безопасность и комфорт;240455;https://prom.ua/ua/Navesnye-podsumki;V, Vmin, noindex;;Тип устройства;;Навісні підсумки
1017;"https://viatec.ua/catalog/sproriadzhennia/0:0;tip-sporizdzhennia:termotent";site;;0,85;1,2;152208946;Снаряжение;180303;https://prom.ua/ua/Maskirovka-dlya-ohoty;V;;Тип устройства;;Термотент від тепловізора
1018;"https://viatec.ua/catalog/sproriadzhennia/0:0;tip-sporizdzhennia:termotent";prom;prom_;0,85;1.21;140905382;Безопасность и комфорт;180303;https://prom.ua/ua/Maskirovka-dlya-ohoty;V, Vmin, noindex;;Тип устройства;;Термотент від тепловізора
1019;"https://viatec.ua/catalog/sproriadzhennia/0:0;tip-sporizdzhennia:karemat";site;;0,85;1,2;152208946;Снаряжение;240405;https://prom.ua/ua/Kovriki-turisticheskie;V;;Тип устройства;;Каремат
1020;"https://viatec.ua/catalog/sproriadzhennia/0:0;tip-sporizdzhennia:karemat";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;240405;https://prom.ua/ua/Kovriki-turisticheskie;V, Vmin, noindex;;Тип устройства;;Каремат
1021;"https://viatec.ua/catalog/sproriadzhennia/0:0;tip-sporizdzhennia:kilimok-taktichnii";site;;0,85;1,2;152208946;Снаряжение;4050702;https://prom.ua/ua/Kovry-iz-sinteticheskih-materialov-;V;;Тип устройства;;Килимок тактичний
1022;"https://viatec.ua/catalog/sproriadzhennia/0:0;tip-sporizdzhennia:kilimok-taktichnii";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;4050702;https://prom.ua/ua/Kovry-iz-sinteticheskih-materialov-;V, Vmin, noindex;;Тип устройства;;Килимок тактичний
1023;"https://viatec.ua/catalog/sproriadzhennia/0:0;tip-sporizdzhennia:rukzak";site;;0,85;1,2;152208946;Снаряжение;152401;https://prom.ua/ua/Armejskie-spetssumki-i-ryukzaki;V;;Тип устройства;;Рюкзак тактичний
1024;"https://viatec.ua/catalog/sproriadzhennia/0:0;tip-sporizdzhennia:rukzak";prom;prom_;0,85;1.21;140905382;Безопасность и комфорт;152401;https://prom.ua/ua/Armejskie-spetssumki-i-ryukzaki;V, Vmin, noindex;;Тип устройства;;Рюкзак тактичний
1025;"https://viatec.ua/catalog/sproriadzhennia/0:0;tip-sporizdzhennia:doshovik";site;;0,85;1,2;152208946;Снаряжение;33915;https://prom.ua/ua/Dozhdeviki;V;;Тип устройства;;Дощовик камуфляж
1026;"https://viatec.ua/catalog/sproriadzhennia/0:0;tip-sporizdzhennia:doshovik";prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;33915;https://prom.ua/ua/Dozhdeviki;V, Vmin, noindex;;Тип устройства;;Дощовик камуфляж
1027;"https://viatec.ua/catalog/sproriadzhennia/0:0;tip-sporizdzhennia:kostum";site;;0,85;1,2;152208946;Снаряжение;30807;https://prom.ua/ua/Voennaya-forma;V;;Тип устройства;;Костюм камуфляж
1028;"https://viatec.ua/catalog/sproriadzhennia/0:0;tip-sporizdzhennia:kostum";prom;prom_;0,85;1.21;140905382;Безопасность и комфорт;30807;https://prom.ua/ua/Voennaya-forma;V, Vmin, noindex;;Тип устройства;;Костюм камуфляж
1029;https://viatec.ua/catalog/sholomi/0:0;site;;0,85;1,2;152208956;Шлемы и аксессуары;300503;https://prom.ua/Shlemy-broneshlemy-i-kaski;V;;;;
1030;https://viatec.ua/catalog/sholomi/0:0;prom;prom_;0,85;1.21;140905382;Безопасность и комфорт;300503;https://prom.ua/Shlemy-broneshlemy-i-kaski;V, Vmin, noindex;;;;
1031;"https://viatec.ua/catalog/zasobi-individualnogo-zahistu/0:0;tip-zasobu:navushniki,adapter,ambushuri";site;;0,85;1,2;152285301;Средства индивидуальной защиты;301915;https://prom.ua/Sredstva-zaschity-organov-sluha;V;;Тип устройства;;Тактичні навушники
1032;"https://viatec.ua/catalog/zasobi-individualnogo-zahistu/0:0;tip-zasobu:navushniki,adapter,ambushuri";prom;prom_;0,85;1.21;140905382;Безопасность и комфорт;301915;https://prom.ua/Sredstva-zaschity-organov-sluha;V, Vmin, noindex;;Тип устройства;;Тактичні навушники
1033;"https://viatec.ua/catalog/zasobi-individualnogo-zahistu/0:0;tip-zasobu:maska,okuliari";site;;0,85;1,2;152285301;Средства индивидуальной защиты;181301;https://prom.ua/Ochki-takticheskie;V;;Тип устройства;;Тактичні окуляри
1034;"https://viatec.ua/catalog/zasobi-individualnogo-zahistu/0:0;tip-zasobu:maska,okuliari";prom;prom_;0,85;1.21;140905382;Безопасность и комфорт;181301;https://prom.ua/Ochki-takticheskie;V, Vmin, noindex;;Тип устройства;;Тактичні окуляри
1035;"https://viatec.ua/catalog/zasobi-individualnogo-zahistu/0:0;tip-zasobu:perchatki";site;;0,85;1,2;152285301;Средства индивидуальной защиты;182202;https://prom.ua/Takticheskie-perchatki;V;;Тип устройства;;Тактичні рукавиці
1036;"https://viatec.ua/catalog/zasobi-individualnogo-zahistu/0:0;tip-zasobu:perchatki";prom;prom_;0,85;1.21;140905382;Безопасность и комфорт;182202;https://prom.ua/Takticheskie-perchatki;V, Vmin, noindex;;Тип устройства;;Тактичні рукавиці
1037;"https://viatec.ua/catalog/zasobi-individualnogo-zahistu/0:0;tip-zasobu:chohol-na-sholom";site;;0,85;1,2;152285301;Средства индивидуальной защиты;300508;https://prom.ua/Aksessuary-komplektuyuschie-ekipirovke;V;;Тип устройства;;Чохол на тактичний шолом
